id,order_id,customer_id,product_id,quantity,amount,status,ordered_at,updated_at
order-029,order-029,customer-029,product-029,5,390.8,shipped,2026-09-12T09:49:00Z,2026-09-12T09:50:00Z
order-030,order-030,customer-030,product-030,1,80.42,cancelled,2026-09-12T09:50:00Z,2026-09-12T09:51:00Z
order-031,order-031,customer-031,product-031,2,166.72,paid,2026-09-12T09:51:00Z,2026-09-12T09:52:00Z
order-032,order-032,customer-032,product-032,3,257.01,shipped,2026-09-12T09:52:00Z,2026-09-12T09:53:00Z
order-033,order-033,customer-033,product-033,4,350.4,cancelled,2026-09-12T09:53:00Z,2026-09-12T09:54:00Z
order-034,order-034,customer-034,product-034,5,453.65,shipped,2026-09-12T09:54:00Z,2026-09-12T09:55:00Z
order-035,order-035,customer-035,product-035,1,92.75,open,2026-09-12T09:55:00Z,2026-09-12T09:56:00Z
order-036,order-036,customer-036,product-036,2,191.08,open,2026-09-12T09:56:00Z,2026-09-12T09:57:00Z
order-037,order-037,customer-037,product-037,3,293.76,cancelled,2026-09-12T09:57:00Z,2026-09-12T09:58:00Z
order-038,order-038,customer-038,product-038,4,401.84,open,2026-09-12T09:58:00Z,2026-09-12T09:59:00Z
order-039,order-039,customer-039,product-039,5,514.7,open,2026-09-12T09:59:00Z,2026-09-12T10:00:00Z
order-040,order-040,customer-040,product-040,1,5.1,paid,2026-09-12T10:00:00Z,2026-09-12T10:01:00Z
order-041,order-041,customer-041,product-041,2,17.0,shipped,2026-09-12T10:01:00Z,2026-09-12T10:02:00Z
order-042,order-042,customer-042,product-042,3,32.91,paid,2026-09-12T10:02:00Z,2026-09-12T10:03:00Z
order-043,order-043,customer-043,product-043,4,50.68,shipped,2026-09-12T10:03:00Z,2026-09-12T10:04:00Z
order-044,order-044,customer-044,product-044,5,77.4,open,2026-09-12T10:04:00Z,2026-09-12T10:05:00Z
order-045,order-045,customer-045,product-045,1,18.4,paid,2026-09-12T10:05:00Z,2026-09-12T10:06:00Z
order-046,order-046,customer-046,product-046,2,40.76,shipped,2026-09-12T10:06:00Z,2026-09-12T10:07:00Z
order-047,order-047,customer-047,product-047,3,68.31,shipped,2026-09-12T10:07:00Z,2026-09-12T10:08:00Z
order-048,order-048,customer-048,product-048,4,101.16,paid,2026-09-12T10:08:00Z,2026-09-12T10:09:00Z
order-049,order-049,customer-049,product-049,5,142.3,cancelled,2026-09-12T10:09:00Z,2026-09-12T10:10:00Z
order-050,order-050,customer-050,product-050,1,30.66,shipped,2026-09-12T10:10:00Z,2026-09-12T10:11:00Z
